Wlgth	Ta	Wlgth	Ta 0°	Wlgth	Ra 0°
750	1	740	0.870248259184293	740	97.6892070599738
751	1	740.077902609106	0.775411875218813	740.077902609106	97.9226895395846
752	1	740.155821622145	0.694482344940181	740.155821622145	98.1224611360284
753	1	740.2337570443	0.624923894695616	740.2337570443	98.2946102966161
754	1	740.311708880755	0.564746301238691	740.311708880755	98.4439315681856
755	1	740.389677136695	0.512371913970882	740.389677136695	98.5742246454515
756	1	740.467661817308	0.466536503591586	740.467661817308	98.6885553807604
757	1	740.545662927787	0.426227965843161	740.545662927787	98.7893699859826
758	1	740.623680473323	0.390606588679528	740.623680473323	98.8787040121174
759	1	740.701714459111	0.358988137738827	740.701714459111	98.9582173802272
760	1	740.779764890348	0.330808906119885	740.779764890348	99.0292821792983
761	1	740.857831772234	0.305600036114881	740.857831772234	99.0930374663795
762	1	740.93591510997	0.282969120994315	740.93591510997	99.1504348847755
763	1	741.01401490876	0.262585741670291	741.01401490876	99.2022760363966
764	1	741.092131173809	0.244169790075116	741.092131173809	99.2492472807198
765	1	741.170263910326	0.227482934074324	741.170263910326	99.2919327690877
766	1	741.248413123521	0.212321275982541	741.248413123521	99.3308351135909
767	1	741.326578818607	0.198510051789982	741.326578818607	99.3663785639843
768	1	741.404761000797	0.185898374898369	741.404761000797	99.3989324036498
769	1	741.48295967531	0.174355692701736	741.48295967531	99.4288141024792
770	1	741.561174847364	0.163768163979301	741.561174847364	99.456307476753
771	1	741.63940652218	0.154036580555297	741.63940652218	99.4816567174735
772	1	741.717654704981	0.145074039435588	741.717654704981	99.5050759744142
773	1	741.795919400994	0.136804498799826	741.795919400994	99.5267530313213
774	1	741.874200615447	0.12916087741811	741.874200615447	99.5468536791626
775	1	741.952498353569	0.122083821841224	741.952498353569	99.565524783854
776	1	742.030812620593	0.115520607380982	742.030812620593	99.5828969517743
777	1	742.109143421753	0.109424395678108	742.109143421753	99.5990863219202
778	1	742.187490762286	0.103753616520928	742.187490762286	99.6141961935224
779	1	742.265854647431	0.0984711594403096	742.265854647431	99.6283189120399
780	1	742.344235082428	0.0935438668673352	742.344235082428	99.6415370861295
781	1	742.422632072523	0.0889417797945517	742.422632072523	99.6539254079678
782	1	742.501045622959	0.0846380339823612	742.501045622959	99.6655509583063
783	1	742.579475738985	0.0806084558127905	742.579475738985	99.6764741634285
784	1	742.657922425851	0.076831218891948	742.657922425851	99.6867497001339
